epsilon,1.000000e-04,2.000000e-04,3.000000e-04,4.000000e-04
Robust Bound,99.70,99.40,99.30,99.20
Robustness Algorithm,99.80,99.60,99.30,99.30

epsilon,1.000000e-04,2.000000e-04,3.000000e-04,4.000000e-04
Robust Bound,0.1210,0.1638,0.2424,0.1618
Robustness Algorithm,1.3145,1.5076,2.7530,2.7169
