epsilon,1.000000e-03,2.000000e-03,3.000000e-03,4.000000e-03,5.000000e-03,6.000000e-03,7.000000e-03,8.000000e-03,9.000000e-03,1.000000e-02
Robust Bound,88.12,75.88,58.88,38.25,26.38,20.13,14.12,5.50,0.00,0.00
Robustness Algorithm,90.00,76.50,59.62,38.88,26.38,20.13,14.50,5.50,0.00,0.00

epsilon,1.000000e-03,2.000000e-03,3.000000e-03,4.000000e-03,5.000000e-03,6.000000e-03,7.000000e-03,8.000000e-03,9.000000e-03,1.000000e-02
Robust Bound,0.0178,0.0083,0.0060,0.0062,0.0083,0.0059,0.0050,0.0048,0.0046,0.0067
Robustness Algorithm,1.9173,3.6664,6.3296,9.7196,11.1488,12.9497,12.4919,14.1562,15.5073,17.9708
