epsilon,1.000000e-02,2.000000e-02
Robust Bound,98.80,81.20
Robustness Algorithm,100.00,99.80

epsilon,1.000000e-02,2.000000e-02
Robust Bound,0.0333,0.0167
Robustness Algorithm,0.9396,23.6263
