epsilon,1.000000e-03,2.000000e-03,3.000000e-03
Robust Bound,96.43,94.40,92.14
Robustness Algorithm,100.00,100.00,100.00

epsilon,1.000000e-03,2.000000e-03,3.000000e-03
Robust Bound,0.7105,0.7072,0.7101
Robustness Algorithm,20351.3740,31639.8367,49801.9758
