(matrix error)
ehc_10,bit flip,0.075,"(0.05, 0.0003)",0.85276,NO,73.52
ehc_10,depolarizing,0.0005,"(0.03, 0.001)",0.99924,NO,27.37
ehc_10,phase flip,0.01,"(0.0003, 0.0075)",0.99859,YES,118.26
ehc_10,mixed,0.0001,"(0.005, 0.001)",0.99977,NO,11.29
ehc_12,bit flip,0.005,"(0.0005, 0.0003)",0.98966,NO,55.67
ehc_12,depolarizing,0.0005,"(0.0001, 0.005)",0.99926,YES,18.32
ehc_12,phase flip,0.075,"(0.001, 0.0075)",0.99885,YES,1581.10
ehc_12,mixed,0.001,"(0.01, 0.0001)",0.99984,NO,102.32

(matrix)
iris,bit flip,0.005,"(0.003, 0.0001)",0.99055,NO,0.01
iris,depolarizing,0.005,"(0.03, 0.0075)",0.98075,NO,0.02
iris,phase flip,0.0001,"(0.005, 0.005)",0.99968,YES,0.02
iris,mixed,0.0001,"(0.03, 0.005)",0.99967,NO,0.00
ehc_6,bit flip,0.05,"(0.001, 0.0005)",0.90009,NO,2.72
ehc_6,depolarizing,0.075,"(0.001, 0.0001)",0.90000,NO,0.01
ehc_6,phase flip,0.0001,"(0.005, 0.003)",1.00000,NO,1.51
ehc_6,mixed,0.01,"(0.0003, 0.0005)",0.99989,YES,0.03
ehc_8,bit flip,0.0001,"(0.0003, 0.0075)",0.99980,YES,1.92
ehc_8,depolarizing,0.05,"(0.001, 0.0075)",0.93333,YES,0.73
ehc_8,phase flip,0.025,"(0.075, 0.0003)",1.00000,NO,2.42
ehc_8,mixed,0.0005,"(0.005, 0.005)",0.99938,YES,0.69
fashion,bit flip,0.005,"(0.075, 0.005)",0.98791,NO,1.56
fashion,depolarizing,0.025,"(0.03, 0.003)",0.95652,NO,2.02
fashion,phase flip,0.025,"(0.005, 0.0003)",0.98452,NO,1.65
fashion,mixed,0.075,"(0.0005, 0.0075)",0.88763,YES,6.17
aci,bit flip,0.0001,"(0.003, 0.0001)",0.99976,NO,3.75
aci,depolarizing,0.025,"(0.03, 0.0005)",0.93864,NO,3.25
aci,phase flip,0.05,"(0.05, 0.001)",0.92925,NO,5.06
aci,mixed,0.005,"(0.005, 0.005)",0.98565,YES,0.23
fct,bit flip,0.05,"(0.075, 0.003)",0.87652,NO,2.52
fct,depolarizing,0.05,"(0.0003, 0.0001)",0.87557,NO,4.35
fct,phase flip,0.01,"(0.01, 0.0075)",0.98657,NO,3.49
fct,mixed,0.05,"(0.075, 0.0075)",0.91278,NO,3.63
cr,bit flip,0.025,"(0.01, 0.0005)",0.97100,NO,1.02
cr,depolarizing,0.005,"(0.075, 0.005)",0.99087,NO,2.91
cr,phase flip,0.025,"(0.0003, 0.0001)",0.96781,NO,3.53
cr,mixed,0.025,"(0.0001, 0.0001)",0.95905,YES,1.13
qaoa_10,bit flip,0.005,"(0.05, 0.0005)",0.98995,NO,17.25
qaoa_10,depolarizing,0.0001,"(0.01, 0.003)",0.99976,NO,21.69
qaoa_10,phase flip,0.005,"(0.075, 0.0075)",0.99454,NO,16.41
ehc_10,bit flip,0.075,"(0.05, 0.0003)",0.85238,NO,5.65
ehc_10,depolarizing,0.0005,"(0.03, 0.001)",0.99933,NO,26.75
ehc_10,phase flip,0.01,"(0.0003, 0.0075)",1.00000,YES,10.12
ehc_10,mixed,0.0001,"(0.005, 0.001)",0.99981,NO,20.03
ehc_12,bit flip,0.005,"(0.0005, 0.0003)",0.99001,NO,2587.14
ehc_12,depolarizing,0.0005,"(0.0001, 0.005)",0.99933,YES,794.07
ehc_12,phase flip,0.075,"(0.001, 0.0075)",1.00000,YES,648.15
ehc_12,mixed,0.001,"(0.01, 0.0001)",0.99997,NO,556.04
qaoa_10,mixed,0.001,"(0.03, 0.0075)",0.99892,NO,7.67
