Model,Circuit,(ε δ),Noise Type,p,K*,time(sec.),robust
iris_4,c_0,"(0.01, 0.0005)",None,None,1.00000,1.86,NO
iris_4,c_1,"(0.01, 0.0005)",None,None,0.81117,2.22,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.001,0.80831,2.81,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.002,0.80543,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.003,0.80548,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.004,0.80412,2.82,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.005,0.80220,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.006,0.79937,2.83,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.007,0.79807,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.008,0.79306,3.08,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.009,0.79566,2.85,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.010,0.79346,2.79,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.011,0.79311,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.012,0.79073,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.013,0.78975,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.014,0.78865,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.015,0.78680,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.016,0.78571,2.83,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.017,0.78365,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.018,0.77915,2.97,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.019,0.78044,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.020,0.77315,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.021,0.77804,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.022,0.77673,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.023,0.77516,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.024,0.77055,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.025,0.77209,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.026,0.76979,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.027,0.76921,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.028,0.76627,2.98,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.029,0.76660,2.80,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.030,0.76523,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.031,0.76373,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.032,0.76224,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.033,0.76068,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.034,0.75783,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.035,0.75799,2.84,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.036,0.75607,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.037,0.75520,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.038,0.75377,2.99,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.039,0.75169,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.040,0.75033,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.041,0.74944,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.042,0.74798,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.043,0.74001,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.044,0.74514,2.65,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.045,0.74388,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.046,0.74260,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.047,0.74122,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.048,0.73972,2.85,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.049,0.73846,2.82,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.050,0.73704,2.83,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.051,0.73564,2.80,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.052,0.73427,2.79,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.053,0.73275,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.054,0.73144,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.055,0.73030,2.82,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.056,0.72875,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.057,0.72730,2.88,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.058,0.72628,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.059,0.72496,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.060,0.72343,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.061,0.72197,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.062,0.72091,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.063,0.71938,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.064,0.71804,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.065,0.71662,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.066,0.71554,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.067,0.71407,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.068,0.71299,2.93,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.069,0.71133,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.070,0.71007,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.071,0.70896,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.072,0.70776,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.073,0.70653,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.074,0.70492,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.075,0.70364,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.076,0.70255,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.077,0.70136,2.94,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.078,0.69984,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.079,0.69879,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.080,0.69759,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.081,0.69613,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.082,0.69480,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.083,0.69361,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.084,0.69247,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.085,0.69091,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.086,0.68960,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.087,0.68839,2.84,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.088,0.68723,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.089,0.68624,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.090,0.68506,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.091,0.68346,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.092,0.68234,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.093,0.68108,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.094,0.68012,2.62,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.095,0.67890,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.096,0.67778,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.097,0.67627,2.83,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.098,0.67499,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.099,0.67375,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.100,0.67264,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.101,0.67165,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.102,0.67017,2.65,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.103,0.66940,2.65,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.104,0.66784,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.105,0.66697,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.106,0.66564,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.107,0.66412,2.86,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.108,0.66344,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.109,0.66204,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.110,0.66098,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.111,0.65956,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.112,0.65879,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.113,0.65724,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.114,0.65618,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.115,0.65502,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.116,0.65397,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.117,0.65258,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.118,0.65184,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.119,0.65076,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.120,0.64920,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.121,0.64807,2.64,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.122,0.64698,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.123,0.64602,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.124,0.64504,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.125,0.64364,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.126,0.64255,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.127,0.64198,2.86,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.128,0.64062,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.129,0.63929,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.130,0.63821,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.131,0.63712,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.132,0.63652,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.133,0.63526,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.134,0.63404,2.83,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.135,0.63270,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.136,0.63207,2.82,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.137,0.63053,2.93,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.138,0.62945,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.139,0.62881,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.140,0.62743,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.141,0.62680,2.65,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.142,0.62586,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.143,0.62416,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.144,0.62370,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.145,0.62227,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.146,0.62124,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.147,0.62052,2.87,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.148,0.61900,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.149,0.61854,2.64,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.150,0.61696,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.151,0.61653,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.152,0.61529,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.153,0.61458,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.154,0.61337,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.155,0.61255,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.156,0.61138,2.91,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.157,0.61031,2.64,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.158,0.60951,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.159,0.60789,2.81,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.160,0.60696,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.161,0.60640,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.162,0.60504,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.163,0.60446,2.80,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.164,0.60333,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.165,0.60197,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.166,0.60106,2.83,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.167,0.60030,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.168,0.59918,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.169,0.59825,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.170,0.59789,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.171,0.59681,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.172,0.59607,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.173,0.59445,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.174,0.59341,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.175,0.59306,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.176,0.59229,2.88,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.177,0.59145,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.178,0.59052,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.179,0.58926,2.65,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.180,0.58823,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.181,0.58718,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.182,0.58653,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.183,0.58597,2.65,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.184,0.58435,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.185,0.58419,2.79,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.186,0.58248,2.92,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.187,0.58169,2.65,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.188,0.58089,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.189,0.58063,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.190,0.57930,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.191,0.57838,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.192,0.57802,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.193,0.57694,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.194,0.57559,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.195,0.57547,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.196,0.57451,2.86,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.197,0.57298,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.198,0.57226,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.199,0.57123,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",bit flip,0.200,0.57041,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.001,0.80790,2.83,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.002,0.80302,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.003,0.80104,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.004,0.80058,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.005,0.79529,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.006,0.79563,2.91,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.007,0.79156,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.008,0.79046,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.009,0.78741,2.81,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.010,0.78528,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.011,0.78302,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.012,0.77987,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.013,0.77533,2.65,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.014,0.77672,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.015,0.77369,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.016,0.77116,2.82,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.017,0.76607,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.018,0.76629,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.019,0.76341,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.020,0.76271,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.021,0.75942,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.022,0.75763,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.023,0.75533,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.024,0.75304,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.025,0.75126,2.82,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.026,0.74826,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.027,0.74357,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.028,0.74470,2.78,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.029,0.74239,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.030,0.73852,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.031,0.73772,2.64,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.032,0.73545,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.033,0.73317,2.79,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.034,0.73118,2.81,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.035,0.72924,2.96,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.036,0.72713,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.037,0.72494,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.038,0.72283,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.039,0.72067,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.040,0.71834,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.041,0.71628,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.042,0.71419,2.79,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.043,0.71180,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.044,0.71008,2.99,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.045,0.70798,2.81,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.046,0.70584,2.79,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.047,0.70373,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.048,0.70162,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.049,0.69959,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.050,0.69761,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.051,0.69554,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.052,0.69352,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.053,0.69143,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.054,0.68941,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.055,0.68733,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.056,0.68528,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.057,0.68329,2.64,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.058,0.68124,2.62,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.059,0.67922,2.64,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.060,0.67720,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.061,0.67530,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.062,0.67332,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.063,0.67134,3.00,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.064,0.66934,2.65,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.065,0.66741,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.066,0.66545,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.067,0.66348,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.068,0.66159,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.069,0.65958,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.070,0.65772,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.071,0.65574,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.072,0.65389,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.073,0.65192,2.87,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.074,0.65004,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.075,0.64812,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.076,0.64626,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.077,0.64433,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.078,0.64254,2.65,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.079,0.64062,2.60,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.080,0.63872,2.64,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.081,0.63688,2.77,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.082,0.63507,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.083,0.63322,2.87,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.084,0.63131,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.085,0.62947,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.086,0.62769,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.087,0.62584,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.088,0.62405,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.089,0.62220,2.80,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.090,0.62044,2.70,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.091,0.61859,2.81,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.092,0.61679,2.76,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.093,0.61506,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.094,0.61322,2.64,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.095,0.61144,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.096,0.60969,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.097,0.60797,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.098,0.60615,2.61,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.099,0.60441,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.100,0.60271,2.82,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.101,0.60092,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.102,0.59921,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.103,0.59745,2.75,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.104,0.59571,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.105,0.59406,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.106,0.59231,2.60,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.107,0.59062,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.108,0.58891,2.71,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.109,0.58722,2.88,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.110,0.58549,2.74,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.111,0.58377,2.64,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.112,0.58216,2.72,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.113,0.58045,2.73,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.114,0.57876,2.69,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.115,0.57716,2.66,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.116,0.57544,2.67,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.117,0.57380,2.68,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.118,0.57219,2.61,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.119,0.57049,2.82,NO
iris_4,c_2,"(0.01, 0.0005)",depolarizing,0.120,0.56886,2.74,NO
