Model,Noise Type_p_ε,Circuit,RA(%),VT(s),RA(%),VT(s)
mnist09,depolarizing_0.005_0.0003,c_2,100.00,0.1832,100.00,0.1832
mnist12,depolarizing_0.05_0.0005,c_0,86.20,0.0362,88.30,51.4320
mnist12,depolarizing_0.05_0.0005,c_1,100.00,0.1236,100.00,0.1236
mnist12,depolarizing_0.05_0.0005,c_2,100.00,0.1344,100.00,0.1344
mnist14,bit-flip_0.0001_0.001,c_0,97.10,0.0368,97.40,10.9708
mnist14,bit-flip_0.0001_0.001,c_1,100.00,0.1093,100.00,0.1094
mnist14,bit-flip_0.0001_0.001,c_2,100.00,0.1123,100.00,0.1123
mnist15,mixed_0.025_0.003,c_0,73.20,0.0305,79.50,95.3258
mnist15,mixed_0.025_0.003,c_1,100.00,0.0500,100.00,0.0500
mnist15,mixed_0.025_0.003,c_2,100.00,0.0377,100.00,0.0377
mnist16,depolarizing_0.001_0.005,c_0,99.10,0.0471,99.20,3.1150
mnist16,depolarizing_0.001_0.005,c_1,100.00,1.1641,100.00,1.1641
mnist16,depolarizing_0.001_0.005,c_2,100.00,1.1157,100.00,1.1157
mnist17,bit-flip_0.005_0.0001,c_0,98.70,0.0401,99.30,3.9473
mnist17,bit-flip_0.005_0.0001,c_1,100.00,0.1918,100.00,0.1918
mnist17,bit-flip_0.005_0.0001,c_2,100.00,0.1758,100.00,0.1758
mnist18,bit-flip_0.0001_0.0005,c_0,85.00,0.0465,86.20,56.8803
mnist18,bit-flip_0.0001_0.0005,c_1,100.00,0.1741,100.00,0.1741
mnist18,bit-flip_0.0001_0.0005,c_2,100.00,0.1912,100.00,0.1912
mnist19,mixed_0.05_0.005,c_0,97.40,0.0385,97.70,9.7878
mnist19,mixed_0.05_0.005,c_1,100.00,0.1660,100.00,0.1661
mnist19,mixed_0.05_0.005,c_2,100.00,0.1717,100.00,0.1717
mnist23,depolarizing_0.001_0.0003,c_0,96.90,0.0437,97.20,11.1500
mnist23,depolarizing_0.001_0.0003,c_1,100.00,0.0695,100.00,0.0696
mnist23,depolarizing_0.001_0.0003,c_2,100.00,0.0684,100.00,0.0684
mnist24,phase-flip_0.025_0.01,c_0,43.70,0.0441,44.30,224.6873
mnist24,phase-flip_0.025_0.01,c_1,100.00,0.3176,100.00,0.3176
mnist24,phase-flip_0.025_0.01,c_2,100.00,0.3264,100.00,0.3264
mnist25,bit-flip_0.0001_0.005,c_0,100.00,0.0405,100.00,0.0406
mnist25,bit-flip_0.0001_0.005,c_1,100.00,0.1229,100.00,0.1229
mnist25,bit-flip_0.0001_0.005,c_2,100.00,0.1240,100.00,0.1240
mnist26,bit-flip_0.025_0.003,c_0,98.30,0.0387,99.20,5.8795
