Model,Circuit (noise_p),ε,RA(%),VT(s),RA(%),VT(s)
mnist13,c_2 (depolarizing_0.02),0.0001,99.20,3.1319,99.60,4.2808
mnist13,c_2 (depolarizing_0.02),0.0003,98.20,3.0602,98.80,5.8275
mnist13,c_2 (depolarizing_0.02),0.0005,97.80,3.1549,98.20,6.5219
mnist13,c_2 (depolarizing_0.02),0.001,96.70,3.0579,97.60,8.1180
mnist13,c_2 (depolarizing_0.02),0.003,93.60,3.4125,95.70,13.4619
mnist13,c_2 (depolarizing_0.02),0.005,90.80,2.6265,93.90,17.7707
mnist13,c_2 (phase-flip_0.0001),0.0001,99.20,3.0608,99.60,4.8474
mnist13,c_2 (phase-flip_0.0001),0.0003,98.20,2.8816,98.80,6.2499
mnist13,c_2 (phase-flip_0.0001),0.0005,97.80,2.7904,98.20,6.4928
mnist13,c_2 (phase-flip_0.0001),0.001,96.70,3.0487,97.60,9.7223
mnist13,c_2 (phase-flip_0.0001),0.003,93.60,3.3867,95.70,15.0057
mnist13,c_2 (phase-flip_0.0001),0.005,90.80,3.1634,93.90,18.2733
mnist13,c_2 (phase-flip_0.0005),0.0001,99.20,3.1387,99.60,4.3667
mnist13,c_2 (phase-flip_0.0005),0.0003,98.20,2.7590,98.80,5.6968
mnist13,c_2 (phase-flip_0.0005),0.0005,97.80,2.3741,98.20,5.8893
mnist13,c_2 (phase-flip_0.0005),0.001,96.70,2.3507,97.60,7.7228
mnist13,c_2 (phase-flip_0.0005),0.003,93.60,2.7482,95.70,13.0309
mnist13,c_2 (phase-flip_0.0005),0.005,90.80,2.3094,93.90,15.9721
mnist13,c_2 (phase-flip_0.001),0.0001,99.20,2.2768,99.60,3.5617
mnist13,c_2 (phase-flip_0.001),0.0003,98.20,2.2136,98.80,5.0085
mnist13,c_2 (phase-flip_0.001),0.0005,97.80,2.2278,98.20,5.7423
mnist13,c_2 (phase-flip_0.001),0.001,96.70,2.3658,97.60,7.6131
mnist13,c_2 (phase-flip_0.001),0.003,93.60,2.3867,95.70,13.0023
mnist13,c_2 (phase-flip_0.001),0.005,90.80,2.1479,93.90,17.5297
mnist13,c_2 (phase-flip_0.005),0.0001,99.20,2.4102,99.60,3.6149
mnist13,c_2 (phase-flip_0.005),0.0003,98.20,2.3841,98.80,5.1840
mnist13,c_2 (phase-flip_0.005),0.0005,97.80,2.3704,98.20,5.8196
mnist13,c_2 (phase-flip_0.005),0.001,96.70,2.2044,97.60,7.2993
mnist13,c_2 (phase-flip_0.005),0.003,93.60,2.2385,95.70,12.8611
mnist13,c_2 (phase-flip_0.005),0.005,90.80,2.4871,93.90,17.8088
mnist13,c_2 (phase-flip_0.01),0.0001,99.20,2.2083,99.60,3.5035
mnist13,c_2 (phase-flip_0.01),0.0003,98.20,2.2884,98.80,5.1168
mnist13,c_2 (phase-flip_0.01),0.0005,97.80,2.3721,98.20,5.8440
mnist13,c_2 (phase-flip_0.01),0.001,96.70,2.1627,97.60,7.4619
mnist13,c_2 (phase-flip_0.01),0.003,93.60,2.3517,95.70,12.8943
mnist13,c_2 (phase-flip_0.01),0.005,90.80,2.2454,93.90,17.5861
mnist13,c_2 (phase-flip_0.02),0.0001,99.20,2.5300,99.60,3.7510
mnist13,c_2 (phase-flip_0.02),0.0003,98.20,2.4080,98.80,5.1969
mnist13,c_2 (phase-flip_0.02),0.0005,97.80,2.3075,98.20,5.4938
mnist13,c_2 (phase-flip_0.02),0.001,96.70,2.2067,97.60,8.0012
mnist13,c_2 (phase-flip_0.02),0.003,93.60,2.3110,95.70,12.3134
mnist13,c_2 (phase-flip_0.02),0.005,90.80,2.4558,93.90,18.9381
mnist13,c_2 (mixed_0.0001),0.0001,99.20,17.4747,99.60,19.0094
mnist13,c_2 (mixed_0.0001),0.0003,98.20,17.5497,98.80,20.2072
mnist13,c_2 (mixed_0.0001),0.0005,97.80,17.7364,98.20,21.1854
mnist13,c_2 (mixed_0.0001),0.001,96.70,16.8555,97.60,21.4720
mnist13,c_2 (mixed_0.0001),0.003,93.60,17.0657,95.70,25.4631
mnist13,c_2 (mixed_0.0001),0.005,90.80,18.1284,93.90,34.3069
mnist13,c_2 (mixed_0.0005),0.0001,99.20,19.2069,99.60,20.3993
mnist13,c_2 (mixed_0.0005),0.0003,98.20,19.3776,98.80,22.1277
mnist13,c_2 (mixed_0.0005),0.0005,97.80,18.3617,98.20,21.7296
mnist13,c_2 (mixed_0.0005),0.001,96.70,16.9054,97.60,22.2251
mnist13,c_2 (mixed_0.0005),0.003,93.60,18.2120,95.70,28.6539
mnist13,c_2 (mixed_0.0005),0.005,90.80,19.1708,93.90,34.7524
mnist13,c_2 (mixed_0.001),0.0001,99.20,21.8321,99.60,23.0817
mnist13,c_2 (mixed_0.001),0.0003,98.20,18.7638,98.80,21.5792
mnist13,c_2 (mixed_0.001),0.0005,97.80,17.0196,98.20,20.4234
mnist13,c_2 (mixed_0.001),0.001,96.70,18.9156,97.60,24.1531
mnist13,c_2 (mixed_0.001),0.003,93.60,21.7890,95.70,32.2676
mnist13,c_2 (mixed_0.001),0.005,90.70,18.9043,93.90,34.5261
mnist13,c_2 (mixed_0.005),0.0001,99.20,17.4057,99.60,18.4778
mnist13,c_2 (mixed_0.005),0.0003,98.20,19.7297,98.80,22.1361
mnist13,c_2 (mixed_0.005),0.0005,97.80,19.7355,98.20,22.8817
mnist13,c_2 (mixed_0.005),0.001,96.70,24.2709,97.60,29.6367
mnist13,c_2 (mixed_0.005),0.003,93.50,17.8431,95.70,28.5335
mnist13,c_2 (mixed_0.005),0.005,90.70,19.7708,93.90,35.1019
mnist13,c_2 (mixed_0.01),0.0001,99.20,19.1284,99.60,21.6887
mnist13,c_2 (mixed_0.01),0.0003,98.20,18.8436,98.80,21.8470
mnist13,c_2 (mixed_0.01),0.0005,97.80,18.8363,98.20,22.3551
mnist13,c_2 (mixed_0.01),0.001,96.70,21.4892,97.60,28.6832
mnist13,c_2 (mixed_0.01),0.003,93.40,18.2985,95.70,30.8903
mnist13,c_2 (mixed_0.01),0.005,90.60,22.1288,93.90,37.4939
mnist13,c_2 (mixed_0.02),0.0001,99.20,25.9838,99.60,27.2408
mnist13,c_2 (mixed_0.02),0.0003,98.10,22.5234,98.80,25.4995
mnist13,c_2 (mixed_0.02),0.0005,97.80,24.6036,98.20,28.0545
mnist13,c_2 (mixed_0.02),0.001,96.70,23.6586,97.60,28.9790
mnist13,c_2 (mixed_0.02),0.003,93.30,21.2682,95.70,31.3498
mnist13,c_2 (mixed_0.02),0.005,90.50,23.4016,93.90,39.0064
mnist01,c_0,0.001,94.40,0.0507,95.40,9.3845
mnist01,c_1,0.001,92.90,0.0657,94.20,10.6868
mnist01,c_2 (depolarizing_0.005),0.001,92.90,4.1927,94.20,15.4684
mnist02,c_0,0.005,62.60,0.0429,74.90,59.4545
mnist02,c_1,0.005,60.00,0.1933,83.10,65.5181
mnist02,c_2 (phase-flip_0.0005),0.005,60.00,38.9177,83.10,104.6325
mnist03,c_0,0.0001,99.80,0.0283,99.90,0.3517
mnist03,c_1,0.0001,98.50,0.1139,98.70,2.5091
mnist03,c_2 (bit-flip_0.02),0.0001,98.30,17.3517,98.70,20.0000
mnist04,c_0,0.0003,99.90,0.0433,100.00,0.2273
mnist04,c_1,0.0003,99.70,0.0459,99.70,0.5857
mnist04,c_2 (bit-flip_0.001),0.0003,99.70,5.1446,99.70,5.6258

